sex,variable_code,region_name,variable_name,units,year,value,iso_code
Male,POVRATE,Latin America and the Caribbean,"Poverty rate, $1.90 threshold",Percent of population,2017,4.380624,
Male,POVRATE,Northern Africa and Western Asia,"Poverty rate, $1.90 threshold",Percent of population,2017,6.068009,
Male,POVRATE, Oceania (excluding Australia and New Zealand),"Poverty rate, $1.90 threshold",Percent of population,2017,22.65331,
Male,POVRATE, Sub-Saharan Africa,"Poverty rate, $1.90 threshold",Percent of population,2017,41.73694,
Male,POVRATE,World,"Poverty rate, $1.90 threshold",Percent of population,2017,9.190069,
Female,POVRATE32,Australia and New Zealand,"Poverty rate, $3.20 threshold",Percent of population,2017,0.5606908,
Female,POVRATE32, Central Asia and Southern Asia,"Poverty rate, $3.20 threshold",Percent of population,2017,41.49908,
Female,POVRATE32, Eastern and Southeast Asia,"Poverty rate, $3.20 threshold",Percent of population,2017,8.765207,
Female,POVRATE32, Europe and Northern America,"Poverty rate, $3.20 threshold",Percent of population,2017,0.9815455,
Female,POVRATE32,Latin America and the Caribbean,"Poverty rate, $3.20 threshold",Percent of population,2017,10.79705,
Female,POVRATE32,Northern Africa and Western Asia,"Poverty rate, $3.20 threshold",Percent of population,2017,17.9922,
Female,POVRATE32, Oceania (excluding Australia and New Zealand),"Poverty rate, $3.20 threshold",Percent of population,2017,46.19625,
Female,POVRATE32, Sub-Saharan Africa,"Poverty rate, $3.20 threshold",Percent of population,2017,69.0564,
Female,POVRATE32,World,"Poverty rate, $3.20 threshold",Percent of population,2017,24.78713,
Male,POVRATE32,Australia and New Zealand,"Poverty rate, $3.20 threshold",Percent of population,2017,0.6897966,
Male,POVRATE32, Central Asia and Southern Asia,"Poverty rate, $3.20 threshold",Percent of population,2017,40.18791,
Male,POVRATE32, Eastern and Southeast Asia,"Poverty rate, $3.20 threshold",Percent of population,2017,8.442627,
Male,POVRATE32, Europe and Northern America,"Poverty rate, $3.20 threshold",Percent of population,2017,0.9997565,
Male,POVRATE32,Latin America and the Caribbean,"Poverty rate, $3.20 threshold",Percent of population,2017,10.59362,
Male,POVRATE32,Northern Africa and Western Asia,"Poverty rate, $3.20 threshold",Percent of population,2017,16.83588,
Male,POVRATE32, Oceania (excluding Australia and New Zealand),"Poverty rate, $3.20 threshold",Percent of population,2017,45.47956,
Male,POVRATE32, Sub-Saharan Africa,"Poverty rate, $3.20 threshold",Percent of population,2017,67.63853,
Male,POVRATE32,World,"Poverty rate, $3.20 threshold",Percent of population,2017,24.35351,
Female,POVRATE55,Australia and New Zealand,"Poverty rate, $5.50 threshold",Percent of population,2017,0.8280644,
Female,POVRATE55, Central Asia and Southern Asia,"Poverty rate, $5.50 threshold",Percent of population,2017,75.08479,
Female,POVRATE55, Eastern and Southeast Asia,"Poverty rate, $5.50 threshold",Percent of population,2017,26.52114,
Female,POVRATE55, Europe and Northern America,"Poverty rate, $5.50 threshold",Percent of population,2017,2.560686,
Female,POVRATE55,Latin America and the Caribbean,"Poverty rate, $5.50 threshold",Percent of population,2017,25.69475,
Female,POVRATE55,Northern Africa and Western Asia,"Poverty rate, $5.50 threshold",Percent of population,2017,40.75408,
Female,POVRATE55, Oceania (excluding Australia and New Zealand),"Poverty rate, $5.50 threshold",Percent of population,2017,72.41679,
Female,POVRATE55, Sub-Saharan Africa,"Poverty rate, $5.50 threshold",Percent of population,2017,87.09533,
Female,POVRATE55,World,"Poverty rate, $5.50 threshold",Percent of population,2017,44.12741,
Male,POVRATE55,Australia and New Zealand,"Poverty rate, $5.50 threshold",Percent of population,2017,0.9251378,
Male,POVRATE55, Central Asia and Southern Asia,"Poverty rate, $5.50 threshold",Percent of population,2017,74.04556,
Male,POVRATE55, Eastern and Southeast Asia,"Poverty rate, $5.50 threshold",Percent of population,2017,26.22231,
Male,POVRATE55, Europe and Northern America,"Poverty rate, $5.50 threshold",Percent of population,2017,2.566092,
Male,POVRATE55,Latin America and the Caribbean,"Poverty rate, $5.50 threshold",Percent of population,2017,25.07632,
Male,POVRATE55,Northern Africa and Western Asia,"Poverty rate, $5.50 threshold",Percent of population,2017,38.67088,
Male,POVRATE55, Oceania (excluding Australia and New Zealand),"Poverty rate, $5.50 threshold",Percent of population,2017,71.82038,
Male,POVRATE55, Sub-Saharan Africa,"Poverty rate, $5.50 threshold",Percent of population,2017,85.89384,
Male,POVRATE55,World,"Poverty rate, $5.50 threshold",Percent of population,2017,44.08167,
Female,POVRATENPL,Australia and New Zealand,"Poverty rate, National Poverty Line threshold",Percent of population,2017,12.24621,
Female,POVRATENPL, Central Asia and Southern Asia,"Poverty rate, National Poverty Line threshold",Percent of population,2017,20.68328,
Female,POVRATENPL, Eastern and Southeast Asia,"Poverty rate, National Poverty Line threshold",Percent of population,2017,7.193655,
Female,POVRATENPL, Europe and Northern America,"Poverty rate, National Poverty Line threshold",Percent of population,2017,14.05959,
Female,POVRATENPL,Latin America and the Caribbean,"Poverty rate, National Poverty Line threshold",Percent of population,2017,30.37773,
Female,POVRATENPL,Northern Africa and Western Asia,"Poverty rate, National Poverty Line threshold",Percent of population,2017,22.47182,
Female,POVRATENPL, Oceania (excluding Australia and New Zealand),"Poverty rate, National Poverty Line threshold",Percent of population,2017,34.30531,
Female,POVRATENPL, Sub-Saharan Africa,"Poverty rate, National Poverty Line threshold",Percent of population,2017,41.18081,
Female,POVRATENPL,World,"Poverty rate, National Poverty Line threshold",Percent of population,2017,19.28843,
Male,POVRATENPL,Australia and New Zealand,"Poverty rate, National Poverty Line threshold",Percent of population,2017,11.72399,
Male,POVRATENPL, Central Asia and Southern Asia,"Poverty rate, National Poverty Line threshold",Percent of population,2017,19.64002,
Male,POVRATENPL, Eastern and Southeast Asia,"Poverty rate, National Poverty Line threshold",Percent of population,2017,6.964518,
Male,POVRATENPL, Europe and Northern America,"Poverty rate, National Poverty Line threshold",Percent of population,2017,13.11888,
Male,POVRATENPL,Latin America and the Caribbean,"Poverty rate, National Poverty Line threshold",Percent of population,2017,29.52905,
Male,POVRATENPL,Northern Africa and Western Asia,"Poverty rate, National Poverty Line threshold",Percent of population,2017,21.10708,
Male,POVRATENPL, Oceania (excluding Australia and New Zealand),"Poverty rate, National Poverty Line threshold",Percent of population,2017,33.74289,
Male,POVRATENPL, Sub-Saharan Africa,"Poverty rate, National Poverty Line threshold",Percent of population,2017,40.05902,
Male,POVRATENPL,World,"Poverty rate, National Poverty Line threshold",Percent of population,2017,18.41795,
Female,POVCOUNT,Australia and New Zealand,"Poverty headcount, $1.90 threshold",Million people,2018,0.062336,
Female,POVCOUNT, Central Asia and Southern Asia,"Poverty headcount, $1.90 threshold",Million people,2018,86.70569,
Female,POVCOUNT, Eastern and Southeast Asia,"Poverty headcount, $1.90 threshold",Million people,2018,18.57202,
Female,POVCOUNT, Europe and Northern America,"Poverty headcount, $1.90 threshold",Million people,2018,3.448898,
Female,POVCOUNT,Latin America and the Caribbean,"Poverty headcount, $1.90 threshold",Million people,2018,15.18227,
Female,POVCOUNT,Northern Africa and Western Asia,"Poverty headcount, $1.90 threshold",Million people,2018,15.72777,
Female,POVCOUNT, Oceania (excluding Australia and New Zealand),"Poverty headcount, $1.90 threshold",Million people,2018,1.250363,
Female,POVCOUNT, Sub-Saharan Africa,"Poverty headcount, $1.90 threshold",Million people,2018,218.5923,
Female,POVCOUNT,World,"Poverty headcount, $1.90 threshold",Million people,2018,359.5416,
Male,POVCOUNT,Australia and New Zealand,"Poverty headcount, $1.90 threshold",Million people,2018,0.058677,
Male,POVCOUNT, Central Asia and Southern Asia,"Poverty headcount, $1.90 threshold",Million people,2018,77.42059,
Male,POVCOUNT, Eastern and Southeast Asia,"Poverty headcount, $1.90 threshold",Million people,2018,17.77863,
Male,POVCOUNT, Europe and Northern America,"Poverty headcount, $1.90 threshold",Million people,2018,3.087996,
Male,POVCOUNT,Latin America and the Caribbean,"Poverty headcount, $1.90 threshold",Million people,2018,14.22485,
Male,POVCOUNT,Northern Africa and Western Asia,"Poverty headcount, $1.90 threshold",Million people,2018,15.62589,
Male,POVCOUNT, Oceania (excluding Australia and New Zealand),"Poverty headcount, $1.90 threshold",Million people,2018,1.2696,
Male,POVCOUNT, Sub-Saharan Africa,"Poverty headcount, $1.90 threshold",Million people,2018,212.3927,
Male,POVCOUNT,World,"Poverty headcount, $1.90 threshold",Million people,2018,341.8589,
Female,POVCOUNT32,Australia and New Zealand,"Poverty headcount, $3.20 threshold",Million people,2018,0.083578,
Female,POVCOUNT32, Central Asia and Southern Asia,"Poverty headcount, $3.20 threshold",Million people,2018,372.6907,
Female,POVCOUNT32, Eastern and Southeast Asia,"Poverty headcount, $3.20 threshold",Million people,2018,91.93568,
Female,POVCOUNT32, Europe and Northern America,"Poverty headcount, $3.20 threshold",Million people,2018,5.302999,
Female,POVCOUNT32,Latin America and the Caribbean,"Poverty headcount, $3.20 threshold",Million people,2018,35.54691,
Female,POVCOUNT32,Northern Africa and Western Asia,"Poverty headcount, $3.20 threshold",Million people,2018,44.08933,
Female,POVCOUNT32, Oceania (excluding Australia and New Zealand),"Poverty headcount, $3.20 threshold",Million people,2018,2.475745,
Female,POVCOUNT32, Sub-Saharan Africa,"Poverty headcount, $3.20 threshold",Million people,2018,355.2536,
Female,POVCOUNT32,World,"Poverty headcount, $3.20 threshold",Million people,2018,907.3788,
Male,POVCOUNT32,Australia and New Zealand,"Poverty headcount, $3.20 threshold",Million people,2018,0.096994,
Male,POVCOUNT32, Central Asia and Southern Asia,"Poverty headcount, $3.20 threshold",Million people,2018,383.0706,
Male,POVCOUNT32, Eastern and Southeast Asia,"Poverty headcount, $3.20 threshold",Million people,2018,90.24176,
Male,POVCOUNT32, Europe and Northern America,"Poverty headcount, $3.20 threshold",Million people,2018,4.974232,
Male,POVCOUNT32,Latin America and the Caribbean,"Poverty headcount, $3.20 threshold",Million people,2018,33.88566,
Male,POVCOUNT32,Northern Africa and Western Asia,"Poverty headcount, $3.20 threshold",Million people,2018,43.3966,
Male,POVCOUNT32, Oceania (excluding Australia and New Zealand),"Poverty headcount, $3.20 threshold",Million people,2018,2.533957,
Male,POVCOUNT32, Sub-Saharan Africa,"Poverty headcount, $3.20 threshold",Million people,2018,346.6265,
Male,POVCOUNT32,World,"Poverty headcount, $3.20 threshold",Million people,2018,904.8262,
Female,POVCOUNT55,Australia and New Zealand,"Poverty headcount, $5.50 threshold",Million people,2018,0.118489,
Female,POVCOUNT55, Central Asia and Southern Asia,"Poverty headcount, $5.50 threshold",Million people,2018,698.7368,
Female,POVCOUNT55, Eastern and Southeast Asia,"Poverty headcount, $5.50 threshold",Million people,2018,281.9325,
Female,POVCOUNT55, Europe and Northern America,"Poverty headcount, $5.50 threshold",Million people,2018,13.70459,
Female,POVCOUNT55,Latin America and the Caribbean,"Poverty headcount, $5.50 threshold",Million people,2018,83.88847,
Female,POVCOUNT55,Northern Africa and Western Asia,"Poverty headcount, $5.50 threshold",Million people,2018,100.2481,
Female,POVCOUNT55, Oceania (excluding Australia and New Zealand),"Poverty headcount, $5.50 threshold",Million people,2018,3.861492,
Female,POVCOUNT55, Sub-Saharan Africa,"Poverty headcount, $5.50 threshold",Million people,2018,450.728,
Female,POVCOUNT55,World,"Poverty headcount, $5.50 threshold",Million people,2018,1633.219,
Male,POVCOUNT55,Australia and New Zealand,"Poverty headcount, $5.50 threshold",Million people,2018,0.124905,
Male,POVCOUNT55, Central Asia and Southern Asia,"Poverty headcount, $5.50 threshold",Million people,2018,732.2181,
Male,POVCOUNT55, Eastern and Southeast Asia,"Poverty headcount, $5.50 threshold",Million people,2018,286.2883,
Male,POVCOUNT55, Europe and Northern America,"Poverty headcount, $5.50 threshold",Million people,2018,12.85453,
Male,POVCOUNT55,Latin America and the Caribbean,"Poverty headcount, $5.50 threshold",Million people,2018,79.54515,
Male,POVCOUNT55,Northern Africa and Western Asia,"Poverty headcount, $5.50 threshold",Million people,2018,100.1615,
Male,POVCOUNT55, Oceania (excluding Australia and New Zealand),"Poverty headcount, $5.50 threshold",Million people,2018,3.980574,
Male,POVCOUNT55, Sub-Saharan Africa,"Poverty headcount, $5.50 threshold",Million people,2018,442.5747,
Male,POVCOUNT55,World,"Poverty headcount, $5.50 threshold",Million people,2018,1657.747,
Female,POVCOUNTNPL,Australia and New Zealand,"Poverty headcount, National Poverty Line threshold",Million people,2018,1.820785,
Female,POVCOUNTNPL, Central Asia and Southern Asia,"Poverty headcount, National Poverty Line threshold",Million people,2018,197.4062,
Female,POVCOUNTNPL, Eastern and Southeast Asia,"Poverty headcount, National Poverty Line threshold",Million people,2018,82.80386,
Female,POVCOUNTNPL, Europe and Northern America,"Poverty headcount, National Poverty Line threshold",Million people,2018,80.16246,
Female,POVCOUNTNPL,Latin America and the Caribbean,"Poverty headcount, National Poverty Line threshold",Million people,2018,98.75776,
Female,POVCOUNTNPL,Northern Africa and Western Asia,"Poverty headcount, National Poverty Line threshold",Million people,2018,55.71155,
Female,POVCOUNTNPL, Oceania (excluding Australia and New Zealand),"Poverty headcount, National Poverty Line threshold",Million people,2018,1.82195,
Female,POVCOUNTNPL, Sub-Saharan Africa,"Poverty headcount, National Poverty Line threshold",Million people,2018,214.0368,
Female,POVCOUNTNPL,World,"Poverty headcount, National Poverty Line threshold",Million people,2018,732.5211,
Male,POVCOUNTNPL,Australia and New Zealand,"Poverty headcount, National Poverty Line threshold",Million people,2018,1.725594,
Male,POVCOUNTNPL, Central Asia and Southern Asia,"Poverty headcount, National Poverty Line threshold",Million people,2018,199.3164,
Male,POVCOUNTNPL, Eastern and Southeast Asia,"Poverty headcount, National Poverty Line threshold",Million people,2018,81.74615,
Male,POVCOUNTNPL, Europe and Northern America,"Poverty headcount, National Poverty Line threshold",Million people,2018,70.9884,
Male,POVCOUNTNPL,Latin America and the Caribbean,"Poverty headcount, National Poverty Line threshold",Million people,2018,93.25998,
Male,POVCOUNTNPL,Northern Africa and Western Asia,"Poverty headcount, National Poverty Line threshold",Million people,2018,55.11266,
Male,POVCOUNTNPL, Oceania (excluding Australia and New Zealand),"Poverty headcount, National Poverty Line threshold",Million people,2018,1.862157,
Male,POVCOUNTNPL, Sub-Saharan Africa,"Poverty headcount, National Poverty Line threshold",Million people,2018,207.3546,
Male,POVCOUNTNPL,World,"Poverty headcount, National Poverty Line threshold",Million people,2018,711.3657,
Female,POVRATE,Australia and New Zealand,"Poverty rate, $1.90 threshold",Percent of population,2018,0.4190513,
Female,POVRATE, Central Asia and Southern Asia,"Poverty rate, $1.90 threshold",Percent of population,2018,9.088026,
Female,POVRATE, Eastern and Southeast Asia,"Poverty rate, $1.90 threshold",Percent of population,2018,1.621892,
Female,POVRATE, Europe and Northern America,"Poverty rate, $1.90 threshold",Percent of population,2018,0.6040618,
Female,POVRATE,Latin America and the Caribbean,"Poverty rate, $1.90 threshold",Percent of population,2018,4.6682,
Female,POVRATE,Northern Africa and Western Asia,"Poverty rate, $1.90 threshold",Percent of population,2018,6.3443,
Female,POVRATE, Oceania (excluding Australia and New Zealand),"Poverty rate, $1.90 threshold",Percent of population,2018,23.5462,
Female,POVRATE, Sub-Saharan Africa,"Poverty rate, $1.90 threshold",Percent of population,2018,42.04655,
Female,POVRATE,World,"Poverty rate, $1.90 threshold",Percent of population,2018,9.503394,
Male,POVRATE,Australia and New Zealand,"Poverty rate, $1.90 threshold",Percent of population,2018,0.3988125,
Male,POVRATE, Central Asia and Southern Asia,"Poverty rate, $1.90 threshold",Percent of population,2018,7.634831,
Male,POVRATE, Eastern and Southeast Asia,"Poverty rate, $1.90 threshold",Percent of population,2018,1.509019,
Male,POVRATE, Europe and Northern America,"Poverty rate, $1.90 threshold",Percent of population,2018,0.5711484,
Male,POVRATE,Latin America and the Caribbean,"Poverty rate, $1.90 threshold",Percent of population,2018,4.508081,
Male,POVRATE,Northern Africa and Western Asia,"Poverty rate, $1.90 threshold",Percent of population,2018,5.993967,
Male,POVRATE, Oceania (excluding Australia and New Zealand),"Poverty rate, $1.90 threshold",Percent of population,2018,22.99948,
Male,POVRATE, Sub-Saharan Africa,"Poverty rate, $1.90 threshold",Percent of population,2018,41.02631,
Male,POVRATE,World,"Poverty rate, $1.90 threshold",Percent of population,2018,8.886296,
Female,POVRATE32,Australia and New Zealand,"Poverty rate, $3.20 threshold",Percent of population,2018,0.5618498,
Female,POVRATE32, Central Asia and Southern Asia,"Poverty rate, $3.20 threshold",Percent of population,2018,39.06346,
Female,POVRATE32, Eastern and Southeast Asia,"Poverty rate, $3.20 threshold",Percent of population,2018,8.028728,
Female,POVRATE32, Europe and Northern America,"Poverty rate, $3.20 threshold",Percent of population,2018,0.9288006,
Female,POVRATE32,Latin America and the Caribbean,"Poverty rate, $3.20 threshold",Percent of population,2018,10.92986,
Female,POVRATE32,Northern Africa and Western Asia,"Poverty rate, $3.20 threshold",Percent of population,2018,17.78485,
Female,POVRATE32, Oceania (excluding Australia and New Zealand),"Poverty rate, $3.20 threshold",Percent of population,2018,46.62196,
Female,POVRATE32, Sub-Saharan Africa,"Poverty rate, $3.20 threshold",Percent of population,2018,68.33357,
Female,POVRATE32,World,"Poverty rate, $3.20 threshold",Percent of population,2018,23.98381,
Male,POVRATE32,Australia and New Zealand,"Poverty rate, $3.20 threshold",Percent of population,2018,0.6592433,
Male,POVRATE32, Central Asia and Southern Asia,"Poverty rate, $3.20 threshold",Percent of population,2018,37.7765,
Male,POVRATE32, Eastern and Southeast Asia,"Poverty rate, $3.20 threshold",Percent of population,2018,7.659562,
Male,POVRATE32, Europe and Northern America,"Poverty rate, $3.20 threshold",Percent of population,2018,0.9200222,
Male,POVRATE32,Latin America and the Caribbean,"Poverty rate, $3.20 threshold",Percent of population,2018,10.73891,
Male,POVRATE32,Northern Africa and Western Asia,"Poverty rate, $3.20 threshold",Percent of population,2018,16.6466,
Male,POVRATE32, Oceania (excluding Australia and New Zealand),"Poverty rate, $3.20 threshold",Percent of population,2018,45.90399,
Male,POVRATE32, Sub-Saharan Africa,"Poverty rate, $3.20 threshold",Percent of population,2018,66.9553,
Male,POVRATE32,World,"Poverty rate, $3.20 threshold",Percent of population,2018,23.5201,
Female,POVRATE55,Australia and New Zealand,"Poverty rate, $5.50 threshold",Percent of population,2018,0.7965378,
Female,POVRATE55, Central Asia and Southern Asia,"Poverty rate, $5.50 threshold",Percent of population,2018,73.23785,
Female,POVRATE55, Eastern and Southeast Asia,"Poverty rate, $5.50 threshold",Percent of population,2018,24.62112,
Female,POVRATE55, Europe and Northern America,"Poverty rate, $5.50 threshold",Percent of population,2018,2.400308,
