year,entity_name,female,male
2001,High income,50.8746751819389,70.1720124307541
2001,Low income,62.1082538951521,78.1411926708711
2001,Lower middle income,38.1432405626825,78.8684085338557
2001,Upper middle income,61.0985679911495,79.5740051852464
2002,High income,50.8818192892691,69.8881650214581
2002,Low income,62.0831190323041,78.092422245658
2002,Lower middle income,37.8217829474433,78.3075134329026
2002,Upper middle income,60.9027141127521,79.1746844603623
2003,High income,51.0145818516963,69.6402302703526
2003,Low income,62.0026039172542,78.023390229142
2003,Lower middle income,37.8089054033282,77.7915471246177
2003,Upper middle income,60.5398790099211,78.7784891778512
2004,High income,51.1210512272371,69.4352218331296
2004,Low income,62.0117256754027,77.9789240947669
2004,Lower middle income,37.7344045582352,77.3897446215291
2004,Upper middle income,60.2349783001154,78.5163857829042
2005,High income,51.4351677324318,69.5043077218864
2005,Low income,61.9787577466273,77.9107370114879
2005,Lower middle income,37.7160380086219,76.7500126457974
2005,Upper middle income,60.0056664194551,78.2250288648035
2006,High income,51.7205038000012,69.5585715484149
2006,Low income,61.6412348327503,77.7793861474277
2006,Lower middle income,37.6517552659059,76.7571768308825
2006,Upper middle income,59.6190739501185,77.8640591021955
2007,High income,51.8490406866411,69.5416672309772
2007,Low income,61.4206557939385,77.5913634260359
2007,Lower middle income,37.9438801376858,76.8201943644113
2007,Upper middle income,59.260351413744,77.5605299255726
2008,High income,52.0879327745643,69.5116910013053
2008,Low income,61.1644024783,77.3899430105545
2008,Lower middle income,37.7688622864235,76.8166758428707
2008,Upper middle income,58.8007783098954,77.2812850024185
2009,High income,52.1122877862173,68.9936961804697
2009,Low income,60.8724633214456,77.1896614352453
2009,Lower middle income,37.7766087827731,76.8612509434652
2009,Upper middle income,58.4633305977905,76.8964754954338
2010,High income,52.0273241073563,68.7047143426685
2010,Low income,60.617962741979,76.9752855753264
2010,Lower middle income,37.7587905791658,77.0193401475938
2010,Upper middle income,57.8017598257956,76.3841429825747
2011,High income,52.008609503746,68.5085655936282
2011,Low income,60.356017625441,76.7493812755463
2011,Lower middle income,37.3577647863629,76.7329928939485
2011,Upper middle income,57.8714994114744,76.3301677663699
2012,High income,52.1561374959461,68.540971703549
2012,Low income,60.025068528509,76.4444876246796
2012,Lower middle income,36.9297719447372,76.3494811794589
2012,Upper middle income,57.8003362937545,76.0748625634516
2013,High income,52.2251772832777,68.4014462833552
2013,Low income,59.9099362915971,76.1585124989437
2013,Lower middle income,36.3072611200113,75.8477965018701
2013,Upper middle income,57.4952605497692,75.6196356723854
2014,High income,52.3741840245429,68.2989264287772
2014,Low income,59.7845960867902,75.8092950357216
2014,Lower middle income,35.8440867362355,75.3284882334204
2014,Upper middle income,57.2623693798716,75.3241217719653
2015,High income,52.4050570019516,68.263727572312
2015,Low income,59.7845328463425,75.5436297997572
2015,Lower middle income,35.4832553870885,74.9372907656314
2015,Upper middle income,57.2441180345486,75.0405048409696
2016,High income,52.7111735532489,68.3631016981051
2016,Low income,59.8421349729718,75.4284206134817
2016,Lower middle income,35.0577551175796,74.4749310393569
2016,Upper middle income,57.1032231531634,74.6305470132893
2017,High income,52.9607866486576,68.3556355059678
2017,Low income,59.7242867432982,75.0784038260694
2017,Lower middle income,34.695252264918,74.0024543095057
2017,Upper middle income,56.9399862711645,74.2141679024683
2018,High income,53.2562527443423,68.430205361381
2018,Low income,59.6128836067181,74.8836188152343
2018,Lower middle income,34.2481932068591,73.7107164829981
2018,Upper middle income,56.8039313789474,73.7741881277486
2019,High income,53.6631509883958,68.5286009090309
2019,Low income,59.6237823923625,74.7964270769291
2019,Lower middle income,35.7333671645685,73.971192352566
2019,Upper middle income,56.7383790258258,73.3317214286609
2020,High income,52.9734834952195,67.5016467334506
2020,Low income,58.6991862223857,73.9734305490589
2020,Lower middle income,34.6251525220591,72.6152140828976
2020,Upper middle income,54.090842479029,70.6451263320327
2021,High income,53.281211780927,67.5658705110585
2021,Low income,61.631228945528,74.5697134437631
2021,Lower middle income,34.8051620107379,72.8707685161755
2021,Upper middle income,56.0472569154291,72.5520179558048
2022,High income,53.9615096646748,67.9891786445777
2022,Low income,62.0281237362189,74.7701677261241
2022,Lower middle income,35.3796183003363,73.7015833124105
2022,Upper middle income,56.2626612006653,72.7021393486886
