iso3,country,value,year,female_pop,continent,income_level,africa_highlight,europe_highlight,low_income_highlight,high_income_highlight,low_high_income_highlight,bin
MMR,Myanmar,0.498,2021,27015414.0,Asia,Lower middle income,,,,,,"[0.4, 0.6)"
NAM,Namibia,0.445,2021,1308985.0,Africa,Upper middle income,Africa,,,,,"[0.4, 0.6)"
NPL,Nepal,0.452,2021,15664025.0,Asia,Lower middle income,,,,,,"[0.4, 0.6)"
NLD,Netherlands,0.025,2021,8820968.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
NZL,New Zealand,0.088,2021,2583772.0,Oceania,High income,,,,High income,High income,"[0.0, 0.2)"
NIC,Nicaragua,0.424,2021,3474910.0,America,Lower middle income,,,,,,"[0.4, 0.6)"
NER,Niger,0.611,2021,12443587.0,Africa,Low income,Africa,,Low income,,Low income,"[0.6, 0.8)"
NGA,Nigeria,0.68,2021,105574310.0,Africa,Lower middle income,Africa,,,,,"[0.6, 0.8)"
MKD,North Macedonia,0.134,2021,1035460.0,Europe,Upper middle income,,Europe,,,,"[0.0, 0.2)"
NOR,Norway,0.016,2021,2680087.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
OMN,Oman,0.3,2021,1758703.0,Asia,High income,,,,High income,High income,"[0.2, 0.4)"
PAK,Pakistan,0.534,2021,114586264.0,Asia,Lower middle income,,,,,,"[0.4, 0.6)"
PAN,Panama,0.392,2021,2174744.0,America,High income,,,,High income,High income,"[0.2, 0.4)"
PNG,Papua New Guinea,0.725,2021,4811553.0,Oceania,Lower middle income,,,,,,"[0.6, 0.8)"
PRY,Paraguay,0.445,2021,3338534.0,America,Upper middle income,,,,,,"[0.4, 0.6)"
PER,Peru,0.38,2021,17020361.0,America,Upper middle income,,,,,,"[0.2, 0.4)"
PHL,Philippines,0.419,2021,56062865.0,Asia,Lower middle income,,,,,,"[0.4, 0.6)"
POL,Poland,0.109,2021,19493868.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
PRT,Portugal,0.067,2021,5453881.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
QAT,Qatar,0.22,2021,734561.0,Asia,High income,,,,High income,High income,"[0.2, 0.4)"
ROU,Romania,0.282,2021,9875794.0,Europe,High income,,Europe,,High income,High income,"[0.2, 0.4)"
RUS,Russian Federation,0.203,2021,76824577.0,Europe,Upper middle income,,Europe,,,,"[0.2, 0.4)"
RWA,Rwanda,0.388,2021,6879649.0,Africa,Low income,Africa,,Low income,,Low income,"[0.2, 0.4)"
LCA,Saint Lucia,0.381,2021,90712.0,America,Upper middle income,,,,,,"[0.2, 0.4)"
VCT,Saint Vincent and the Grenadines,0.39,2021,51123.0,America,Upper middle income,,,,,,"[0.2, 0.4)"
WSM,Samoa,0.418,2021,107213.0,Oceania,Lower middle income,,,,,,"[0.4, 0.6)"
STP,Sao Tome and Principe,0.494,2021,111802.0,Africa,Lower middle income,Africa,,,,,"[0.4, 0.6)"
SAU,Saudi Arabia,0.247,2021,15184150.0,Asia,High income,,,,High income,High income,"[0.2, 0.4)"
SEN,Senegal,0.53,2021,8579664.0,Africa,Lower middle income,Africa,,,,,"[0.4, 0.6)"
SRB,Serbia,0.131,2021,3558849.0,Europe,Upper middle income,,Europe,,,,"[0.0, 0.2)"
SLE,Sierra Leone,0.633,2021,4201801.0,Africa,Low income,Africa,,Low income,,Low income,"[0.6, 0.8)"
SGP,Singapore,0.04,2021,2601057.0,Asia,High income,,,,High income,High income,"[0.0, 0.2)"
SVK,Slovakia,0.18,2021,2787545.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
SVN,Slovenia,0.071,2021,1048601.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
ZAF,South Africa,0.405,2021,30497646.0,Africa,Upper middle income,Africa,,,,,"[0.4, 0.6)"
SSD,South Sudan,0.587,2021,5427688.0,Africa,Low income,Africa,,Low income,,Low income,"[0.4, 0.6)"
ESP,Spain,0.057,2021,24178913.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
LKA,Sri Lanka,0.383,2021,11481595.0,Asia,Lower middle income,,,,,,"[0.2, 0.4)"
SDN,Sudan,0.553,2021,22842482.0,Africa,Low income,Africa,,Low income,,Low income,"[0.4, 0.6)"
SUR,Suriname,0.427,2021,307598.0,America,Upper middle income,,,,,,"[0.4, 0.6)"
SWE,Sweden,0.023,2021,5169131.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
CHE,Switzerland,0.018,2021,4383460.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
SYR,Syrian Arab Republic,0.477,2021,10643230.0,Asia,Low income,,,Low income,,Low income,"[0.4, 0.6)"
TJK,Tajikistan,0.285,2021,4843921.0,Asia,Lower middle income,,,,,,"[0.2, 0.4)"
TZA,Tanzania (United Republic of),0.56,2021,32170681.0,Africa,Lower middle income,Africa,,,,,"[0.4, 0.6)"
THA,Thailand,0.333,2021,36807094.0,Asia,Upper middle income,,,,,,"[0.2, 0.4)"
TLS,Timor-Leste,0.378,2021,647343.0,Asia,Lower middle income,,,,,,"[0.2, 0.4)"
TGO,Togo,0.58,2021,4299551.0,Africa,Low income,Africa,,Low income,,Low income,"[0.4, 0.6)"
TON,Tonga,0.631,2021,53578.0,Oceania,Upper middle income,,,,,,"[0.6, 0.8)"
TTO,Trinidad and Tobago,0.344,2021,772874.0,America,High income,,,,High income,High income,"[0.2, 0.4)"
TUN,Tunisia,0.259,2021,6205901.0,Africa,Lower middle income,Africa,,,,,"[0.2, 0.4)"
TUR,Turkey,0.272,2021,42285574.0,Asia,Upper middle income,,,,,,"[0.2, 0.4)"
TKM,Turkmenistan,0.177,2021,3200126.0,Asia,Upper middle income,,,,,,"[0.0, 0.2)"
UGA,Uganda,0.53,2021,23153140.0,Africa,Low income,Africa,,Low income,,Low income,"[0.4, 0.6)"
UKR,Ukraine,0.2,2021,23524526.0,Europe,Lower middle income,,Europe,,,,"[0.2, 0.4)"
ARE,United Arab Emirates,0.049,2021,2853108.0,Asia,High income,,,,High income,High income,"[0.0, 0.2)"
GBR,United Kingdom,0.098,2021,34065491.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
USA,United States,0.179,2021,167480460.0,America,High income,,,,High income,High income,"[0.0, 0.2)"
URY,Uruguay,0.235,2021,1766768.0,America,High income,,,,High income,High income,"[0.2, 0.4)"
UZB,Uzbekistan,0.227,2021,17446107.0,Asia,Lower middle income,,,,,,"[0.2, 0.4)"
VEN,Venezuela (Bolivarian Republic of),0.492,2021,14243056.0,America,,,,,,,"[0.4, 0.6)"
VNM,Viet Nam,0.296,2021,49331842.0,Asia,Lower middle income,,,,,,"[0.2, 0.4)"
YEM,Yemen,0.82,2021,16313210.0,Asia,Low income,,,Low income,,Low income,"[0.8, 1.0)"
ZMB,Zambia,0.54,2021,9864121.0,Africa,Low income,Africa,,Low income,,Low income,"[0.4, 0.6)"
ZWE,Zimbabwe,0.532,2021,8449834.0,Africa,Lower middle income,Africa,,,,,"[0.4, 0.6)"
